figure,quantity,target,value
Figure 17.4,Students with an outcome inside the stated 400 to 1600 scale,441,433
Figure 17.4,Students with an outcome outside the stated 400 to 1600 scale,0,8
Figure 17.4,Students in total,441,441
Figure 17.5,Units with an outcome outside the 1 to 7 range the axis label implies,0,5
Figure 17.5,Units in total,100,100
Figure 17.8,Observed outcomes outside the stated 1 to 7 Likert scale,0,0
Figure 17.8,"Distinct Likert categories the draws use, of the stated seven",7,6
