term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,estimator
Z,1.979602404574692,0.09485816015787682,20.869078646264573,1.888412050347251e-37,1.7913104448414219,2.167894364307962,96,Y,lm_lin
Z,1.979602404574692,0.09485816015787682,20.869078646264573,1.888412050347251e-37,1.7913104448414219,2.167894364307962,96,Y,"Interacted, centred covariate"
Z_Adjusted,1.979602404574692,0.093978954260063155,21.0643161563241,3.6583168076521997e-38,1.7931042284368555,2.1661005807125284,98,Y_Adjusted,Residual on residual
