Z,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,value,panel,Turnout
Control,Treatment Receipt,(Intercept),0.16666666666666657,0.021552525004661323,7.733045971672477,1.6154076938459442e-13,0.12425281326671386,0.20908052006661929,299,value,0.16666666666666657,By assigned group,NA
Control,Turnout,(Intercept),0.4999999999999998,0.028915746598312017,17.29161646579057,6.439332545472475e-47,0.44309584436599686,0.5569041556340026,299,value,0.4999999999999998,By assigned group,NA
Treatment,Treatment Receipt,(Intercept),0.6666666666666659,0.027262027336984348,24.454038521274946,2.6390093171760155e-73,0.613016914231335,0.7203164191019967,299,value,0.6666666666666659,By assigned group,NA
Treatment,Turnout,(Intercept),0.6333333333333325,0.027868673283383875,22.725636304723,4.175155387676465e-67,0.5784897443414636,0.6881769223252014,299,value,0.6333333333333325,By assigned group,NA
Control,Did not receive treatment,(Intercept),0.4999999999999996,0.03168621252622391,15.77973383805948,2.365763791497613e-39,0.43759283623371414,0.5624071637662851,249,Turnout,NA,By realised receipt,0.4999999999999996
Control,Did receive treatment,(Intercept),0.5,0.07142857142857144,6.999999999999999,6.63373044021952e-9,0.35645891163362575,0.6435410883663742,49,Turnout,NA,By realised receipt,0.5
Treatment,Did not receive treatment,(Intercept),0.20000000000000007,0.04020151261036852,4.974937185533097,2.752200495569358e-6,0.12023147719909172,0.2797685228009084,99,Turnout,NA,By realised receipt,0.20000000000000007
Treatment,Did receive treatment,(Intercept),0.8499999999999995,0.025312121949531214,33.58074845304472,6.426259688910704e-84,0.8000855954727231,0.899914404527276,199,Turnout,NA,By realised receipt,0.8499999999999995
