term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,estimator
(Intercept),6.4600000000000035,0.31953880907497073,20.216636654248617,2.0175334539719323e-44,5.828552171804408,7.091447828195599,148,Y,Unweighted
Z,-0.6999999999999988,0.49539815928133596,-1.413004846476367,0.1597539122150163,-1.6789674458506882,0.27896744585069055,148,Y,Unweighted
(Intercept),6.911111111111111,0.360011600851092,19.196912251640704,5.2367520054785304e-42,6.199684088707378,7.622538133514845,148,Y,Inverse probability weighted
Z,-1.2844444444444463,0.5065835784957424,-2.5355035160407224,0.012266618801347254,-2.2855156488052235,-0.28337324008366904,148,Y,Inverse probability weighted
