condition,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,Y,panel
Control,(Intercept),6.911111111111109,0.36001160085109235,19.19691225164068,3.8222028875511956e-35,6.196769989934609,7.625452232287609,99,Y,6.911111111111109,Inverse probability weighted
Treatment,(Intercept),5.626666666666666,0.3563966459637151,15.787653252044127,7.490712749581922e-21,4.910460792342068,6.342872540991264,49,Y,5.626666666666666,Inverse probability weighted
Control,(Intercept),6.46,0.3195388090749707,20.216636654248607,6.3819417564474745e-37,5.8259656783437075,7.094034321656292,99,Y,6.46,Unweighted
Treatment,(Intercept),5.760000000000001,0.37856873314404316,15.215202671818,3.38758379847999e-20,4.999237648322344,6.520762351677657,49,Y,5.760000000000001,Unweighted
