condition,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,Y,panel
Control,(Intercept),957.940384605713,40.41300589805004,23.703764748960047,3.0064954241645467e-12,870.8113459340125,1045.0694232774135,13.266506255757097,Y,957.940384605713,Cluster robust
Treatment,(Intercept),1117.8245471772464,24.762672598088177,45.141514622438166,3.305988841557584e-16,1064.5649839611583,1171.0841103933344,13.594753819967135,Y,1117.8245471772464,Cluster robust
Control,(Intercept),957.940384605713,14.8929880433426,64.32157078336792,5.766455978175878e-137,928.5755993707136,987.3051698407124,203,Y,957.940384605713,"Student level, no clustering"
Treatment,(Intercept),1117.8245471772464,12.842507991139096,87.04098513689914,2.390164421867862e-181,1092.5239478732042,1143.1251464812885,236,Y,1117.8245471772464,"Student level, no clustering"
