Condition,bound,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,value,n_missing_outcome,n_total
Control,Lower Bound,(Intercept),4.3500000000000005,0.13209653647804304,32.93046219060447,3.8481842631841805e-55,4.087891813074414,4.612108186925587,99,value,4.3500000000000005,19,200
Control,Upper Bound,(Intercept),3.7499999999999996,0.1343709624716425,27.907815282571896,1.0308489859059229e-48,3.483378858462784,4.016621141537215,99,value,3.7499999999999996,19,200
Treatment,Lower Bound,(Intercept),4.3500000000000005,0.14097424365371636,30.85670039617429,1.3673719566941477e-52,4.070276516005222,4.629723483994779,99,value,4.3500000000000005,19,200
Treatment,Upper Bound,(Intercept),4.890000000000001,0.11449934938723892,42.7076662546084,1.38629418317649e-65,4.662808450000226,5.1171915499997755,99,value,4.890000000000001,19,200
