term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
(Intercept),0.02715757454114541,0.04894305864029961,0.5548810249219677,0.5790807582498472,-0.06886713606205348,0.1231822851443443,1185,Y
conditionTreatment,0.38349551153771494,0.12985955211427447,2.9531559696143463,0.0032074604181667695,0.12871523712783806,0.6382757859475918,1185,Y
X,0.9649150144587176,0.04507628483394709,21.406267575362314,3.299672916241727e-86,0.8764767899893726,1.0533532389280627,1185,Y
conditionTreatment:X,2.0099354186498686,0.18808468359177047,10.686332242833473,1.6399204069070152e-25,1.6409193045665778,2.378951532733159,1185,Y
